record_id,Name,Slug,Description,Full hierarchy,Icon,Image,parent_id_for_import,listing_type_corrected
17431,07. Home & Local Services,home-local-services,,07. Home & Local Services,,,0,Businesses & Services
17432,08. Education & Training,education-training,,08. Education & Training,,,0,Businesses & Services
17433,"09. Arts, Media & Events",arts-media-events,,"09. Arts, Media & Events",,,0,Businesses & Services
17434,10. Professional Services,professional-services,,10. Professional Services,,,0,Businesses & Services
16057,Bunkering Services,bunkering-services,,10. Professional Services > Bunkering Services,,,17434,Businesses & Services
16061,Fuel Quality Testing,fuel-quality-testing,,10. Professional Services > Bunkering Services > Fuel Quality Testing,,,16057,Businesses & Services
16059,Lubricant Supply,lubricant-supply,,10. Professional Services > Bunkering Services > Lubricant Supply,,,16057,Businesses & Services
16058,Marine Fuel Supply,marine-fuel-supply,,10. Professional Services > Bunkering Services > Marine Fuel Supply,,,16057,Businesses & Services
16060,Offshore Refueling,offshore-refueling,,10. Professional Services > Bunkering Services > Offshore Refueling,,,16057,Businesses & Services
13055,Business Services,business-services,,10. Professional Services > Business Services,,,17434,Businesses & Services
5733,Business Administration Service,business-administration-service,,10. Professional Services > Business Services > Business Administration Service,,,13055,Businesses & Services
6501,Business Banking Service,business-banking-service,,10. Professional Services > Business Services > Business Banking Service,,https://visita.co.za/wp-content/uploads/2024/07/Business-banking-service.jpg?wpId=181109,13055,Businesses & Services
3222,Business Centre,business-centre,,10. Professional Services > Business Services > Business Centre,,https://visita.co.za/wp-content/uploads/2024/07/Business-center.jpg?wpId=181110,13055,Businesses & Services
5730,Business Development Service,business-development-service,,10. Professional Services > Business Services > Business Development Service,,https://visita.co.za/wp-content/uploads/2024/07/Business-development-service.jpg?wpId=181111,13055,Businesses & Services
5058,Business Management Consultant,business-management-consultant,,10. Professional Services > Business Services > Business Management Consultant,,https://visita.co.za/wp-content/uploads/2024/07/Business-management-consultant.jpg?wpId=181112,13055,Businesses & Services
450,Business To Business Service,business-to-business-service,,10. Professional Services > Business Services > Business To Business Service,,https://visita.co.za/wp-content/uploads/2024/07/Business-to-business-service.jpg?wpId=181114,13055,Businesses & Services
13057,Consulting & Advisory,consulting-advisory,,10. Professional Services > Business Services > Consulting & Advisory,,,13055,Businesses & Services
752,Consultant,consultant,,10. Professional Services > Business Services > Consulting & Advisory > Consultant,,https://visita.co.za/wp-content/uploads/2024/07/Consultant.jpg?wpId=181151,13057,Businesses & Services
6126,Human Resource Consulting,human-resource-consulting,,10. Professional Services > Business Services > Consulting & Advisory > Human Resource Consulting,,https://visita.co.za/wp-content/uploads/2024/07/Human-resource-consulting.jpg?wpId=181245,13057,Businesses & Services
5609,Marketing Consultant,marketing-consultant,,10. Professional Services > Business Services > Consulting & Advisory > Marketing Consultant,https://visita.co.za/wp-content/uploads/2025/01/marketing-professions-and-jobs-svgrepo-com.svg?wpId=194534,https://visita.co.za/wp-content/uploads/2024/07/Marketing-consultant.jpg?wpId=181285,13057,Businesses & Services
6203,Real Estate Consultant,real-estate-consultant,,10. Professional Services > Business Services > Consulting & Advisory > Real Estate Consultant,,,13057,Businesses & Services
6170,Design Agency,design-agency,,10. Professional Services > Business Services > Design Agency,,https://visita.co.za/wp-content/uploads/2024/07/Design-agency.jpg?wpId=181169,13055,Businesses & Services
5381,Marketing Agency,marketing-agency,,10. Professional Services > Business Services > Marketing Agency,https://visita.co.za/wp-content/uploads/2025/01/marketing-market-social-svgrepo-com.svg?wpId=194533,https://visita.co.za/wp-content/uploads/2024/07/Marketing-agency.jpg?wpId=181284,13055,Businesses & Services
13059,Pr Agency,pr-agency,,10. Professional Services > Business Services > Pr Agency,,,13055,Businesses & Services
5781,Temp Agency,temp-agency,,10. Professional Services > Business Services > Temp Agency,,https://visita.co.za/wp-content/uploads/2024/07/Temp-agency.jpg?wpId=181421,13055,Businesses & Services
17435,11. NGOs/Social Enterprises,ngos-social-enterprises,,11. NGOs/Social Enterprises,,,0,Businesses & Services
13220,Adult & Continuing Education,adult-continuing-education,,Adult & Continuing Education,,,0,Businesses & Services
17936,Adult education school,adult-education-school,,Adult education school,,,0,Businesses & Services
17933,Adventure sports center,adventure-sports-center,,Adventure sports center,,,0,Businesses & Services
18069,Aerial sports center,aerial-sports-center,,Aerial sports center,,,0,Businesses & Services
18174,African restaurant,african-restaurant,,African restaurant,,,0,Businesses & Services
18029,Aged care,aged-care,,Aged care,,,0,Businesses & Services
17890,Agricultural production,agricultural-production,,Agricultural production,,,0,Businesses & Services
17894,Agricultural service,agricultural-service,,Agricultural service,,,0,Businesses & Services
18105,Alliance church,alliance-church,,Alliance church,,,0,Businesses & Services
17803,Amusement park,amusement-park-2,,Amusement park,,,0,Businesses & Services
17804,Amusement park ride,amusement-park-ride,,Amusement park ride,,,0,Businesses & Services
17991,Anglican church,anglican-church,,Anglican church,,,0,Businesses & Services
17266,Antique store,antique-store,,Antique store,,,0,Businesses & Services
17264,Apartment building,apartment-building,,Apartment building,,,0,Businesses & Services
17840,Apartment complex,apartment-complex,,Apartment complex,,,0,Businesses & Services
18040,Apostolic church,apostolic-church,,Apostolic church,,,0,Businesses & Services
17869,Artist,artist,,Artist,,,0,Businesses & Services
18056,Arts organization,arts-organization,,Arts organization,,,0,Businesses & Services
18091,Assemblies of God church,assemblies-of-god-church,,Assemblies of God church,,,0,Businesses & Services
